Date,Open,High,Low,Close,Adj Close,Volume
08-12-08,1788,2047,1750,1982.400024,1907.860107,6285
15-12-08,2044.949951,2150,1955,2001.75,1926.482422,11714
22-12-08,2018.75,2050,1855,1873.599976,1803.151245,4815
29-12-08,1860.050049,2110,1850,2042,1965.219238,5825
05-01-09,2094.949951,2100,1813.5,1830.900024,1762.056152,5636
12-01-09,1830.900024,1879,1726,1793.099976,1725.677856,5245
19-01-09,1785,1839,1565,1653.150024,1590.990112,11312
26-01-09,1653.150024,1699.900024,1605.25,1688,1624.529541,4054
02-02-09,1660,1689,1601.199951,1653.25,1591.086182,3859
09-02-09,1670,1750,1611,1713.449951,1649.022827,5030
16-02-09,1747.900024,1747.900024,1620,1632.900024,1571.501465,3933
23-02-09,1632.900024,1653,1600,1647.400024,1585.456055,2400
02-03-09,1651,1655,1470,1535.800049,1478.05249,4562
09-03-09,1550,1550,1500,1536.449951,1492.228149,2390
16-03-09,1561.949951,1695,1533,1603.849976,1557.688721,4264
23-03-09,1620,1738.5,1607.5,1685,1636.502686,6840
30-03-09,1695,1950,1650,1926,1870.566406,7440
06-04-09,1930.050049,2092,1900,2052,1992.939575,7233
13-04-09,2097.949951,2350,1990,2057.5,1998.281982,32931
20-04-09,2134.75,2360,2030,2252.050049,2187.232422,19780
27-04-09,2256,2315,2152.600098,2210,2146.391846,8306
04-05-09,2216.199951,2379.800049,2210,2326.25,2259.296875,15082
11-05-09,2306,2425,2205.25,2357.050049,2289.209473,9645
18-05-09,2589.949951,2850,2360,2738.350098,2659.536133,16827
25-05-09,2850,3500,2850,3161.899902,3070.895508,54050
01-06-09,3240,3499,3140,3381.199951,3283.883789,28807
08-06-09,3550,3675,3380,3408.350098,3310.252686,30304
15-06-09,3441.149902,3900,3250,3386.050049,3288.593018,60426
22-06-09,3395,3699.899902,3205,3364.149902,3267.323975,16233
29-06-09,3351,4374,3309.5,3601.050049,3497.405762,60837
06-07-09,3640,3669,3209.699951,3275.350098,3181.080078,19055
13-07-09,3200,3490,3100.050049,3395.800049,3298.063232,20033
20-07-09,3444,3857,3323.5,3819.800049,3709.860596,38026
27-07-09,3850,4958,3700.050049,4640.799805,4507.228516,163081
03-08-09,4450,4895,4412,4455.950195,4327.700195,37548
10-08-09,4500,4649.399902,4126,4256.049805,4136.230957,23412
17-08-09,4250,4450,4165.100098,4286.200195,4165.531738,24488
24-08-09,4350,4460.600098,4230,4265.75,4145.659668,18456
31-08-09,4220.049805,4480,4130,4380.950195,4257.614746,37012
07-09-09,4450,5415,4282,5279.049805,5130.432129,152401
14-09-09,5256,5525,5125,5202.75,5056.278809,53932
21-09-09,5210,5820,4901,5525,5369.458496,99656
28-09-09,5498,5918,5498,5637.350098,5478.644531,68628
05-10-09,5600,5793.299805,5400,5476.75,5322.565918,57960
12-10-09,5539,6270,5514.049805,6020.649902,5851.152344,141508
19-10-09,6010.049805,6370,5711,5856.75,5691.868164,82148
26-10-09,5919,5935,5205.350098,5289.850098,5140.929199,45293
02-11-09,5217.049805,6100,5122.100098,5983.850098,5815.390625,106958
09-11-09,6114.399902,6219,5851,6134.399902,5964.907715,91300
16-11-09,6199,6200,5834.100098,5915.950195,5752.493164,42756
23-11-09,5934.399902,6336,5760,5878.850098,5716.419434,113533
30-11-09,5959,6169,5925.100098,6029.350098,5862.758789,42087
07-12-09,6074.799805,6074.799805,5805,5862.049805,5700.082031,35658
14-12-09,5874.399902,6720,5810.200195,6626.700195,6443.604492,210117
21-12-09,6701,6890,5970.049805,6101.049805,5932.479004,327833
28-12-09,6101.049805,6200,6001,6032.200195,5865.530762,49253
04-01-10,6081,6371,6032,6166.850098,5996.459961,100778
11-01-10,6199,6549.5,6048,6406.100098,6229.101074,112508
18-01-10,6449.399902,6498.950195,6010,6050.149902,5882.98584,49927
25-01-10,6089.75,6295,5555,5802.950195,5642.615234,54023
01-02-10,5794.399902,6225,5650.5,5720.25,5562.200684,53393
08-02-10,5758,6080,5701,5876.850098,5714.472656,35890
15-02-10,5965,5966.950195,5710.100098,5744.299805,5585.585938,21788
22-02-10,5799,5839,5580,5659.600098,5503.226563,25409
01-03-10,5659.600098,6350,5659.600098,6121.200195,5972.282227,77149
08-03-10,5297,6435,5297,6358.799805,6204.101563,79729
15-03-10,6394.399902,7244.850098,6230,7041.600098,6870.291016,298761
22-03-10,6950,7318,6910,6964.649902,6795.213867,130163
29-03-10,7015,7050,6760,6899.5,6731.645996,42615
05-04-10,6959.399902,7273.299805,6870,7086.5,6914.09668,121247
12-04-10,7134.899902,7360,6985,7028.399902,6857.411621,58799
19-04-10,6990,7179,6892,7022.850098,6851.996094,52125
26-04-10,7089.399902,7274,7030,7086.75,6914.341797,95903
03-05-10,7049.399902,7123,6723,6762.399902,6597.881836,38128
10-05-10,6800.049805,7575,6790,7436.950195,7256.021973,72868
17-05-10,7394.299805,7612,7160,7206.950195,7031.617188,67671
24-05-10,7242,7474,7220,7378.450195,7198.943848,29431
31-05-10,7450,7470,7190,7280.899902,7103.769531,18502
07-06-10,7100,7424,7100,7263.25,7086.547363,47518
14-06-10,7349,7940,7285,7419.799805,7239.289063,79083
21-06-10,7499,7990,7393.299805,7710.25,7522.673828,105575
28-06-10,7720,7968,7601,7867,7675.609863,64595
05-07-10,7820,8040,7750,7793.5,7603.898438,54454
12-07-10,7835,7949,7700,7733.299805,7545.160645,29048
19-07-10,7760,7860,7670.049805,7710.100098,7522.526855,22052
26-07-10,7767,7798,7300,7329.549805,7151.234375,37882
02-08-10,7313.350098,7769,7285,7427.549805,7246.851563,36934
09-08-10,7464.399902,7600,7301.100098,7353.100098,7177.078125,21250
16-08-10,7396,7840,7300,7733.700195,7548.567383,63718
23-08-10,7775,8300,7605,7682.850098,7498.93457,123579
30-08-10,7750,8865,7535,8661.25,8453.913086,164496
06-09-10,8670,9420,8670,9172.5,8952.924805,220414
13-09-10,9250,9439.799805,8936,8971.900391,8757.125977,68302
20-09-10,9047,9140,8670,8958.299805,8743.853516,59096
27-09-10,8985,9120,8690,9070.400391,8853.267578,61514
04-10-10,9110.099609,9164,8750,8786.700195,8576.361328,31490
11-10-10,8825,9739,8752,9304.650391,9081.914063,203958
18-10-10,9305,9600.25,9161,9189.549805,8969.56543,48746
25-10-10,9319,9824,9130.099609,9304.549805,9081.81543,111155
01-11-10,9399.900391,9754,9230,9546.599609,9318.067383,74822
08-11-10,9600,9600,8901.049805,8952.950195,8741.439453,55568
15-11-10,8980,9057.950195,8313,8382.5,8184.465332,41757
22-11-10,9344,9344,7700,7819.100098,7634.375488,60382
29-11-10,8000,8255,7626.100098,7964.299805,7776.145996,58322
06-12-10,8045,8215.25,7041.049805,7398.899902,7224.103516,38066
13-12-10,7499,7575,7150,7246,7074.816406,25475
20-12-10,7255,7510.350098,7161,7337.350098,7164.008789,46490
27-12-10,7390,7395,7151.299805,7202.5,7032.34375,40078
03-01-11,7252,7525,7025,7059.649902,6892.868164,58495
10-01-11,7100,7100,6542,6579,6423.573242,51369
